479,26
480,30
481,29
482,27
483,22
484,29
485,38
486,26
487,21
488,27
489,29
490,23
491,28
492,29
493,36
494,23
495,22
496,30
497,22
498,19
499,32
500,28
501,25
502,19
503,19
504,24
505,12
506,19
507,17
508,15
509,15
510,21
511,22
512,21
513,22
514,23
515,20
516,18
517,20
518,13
519,15
520,26
521,22
522,18
523,22
524,19
525,12
526,32
527,21
528,16
529,32
530,21
531,22
532,21
533,19
534,19
535,30
536,25
537,28
538,17
539,30
540,27
541,17
542,19
543,34
544,25
545,31
546,27
547,28
548,27
549,16
550,30
551,23
552,21
553,28
554,31
555,20
556,25
557,20
558,26
559,22
560,24
561,20
562,24
563,25
564,26
565,19
566,24
567,21
568,27
569,30
570,22
571,25
572,15
573,12
574,18
575,29
576,25
577,24
578,24
579,21
580,18
581,23
582,21
583,20
584,14
585,20
586,15
587,15
588,21
589,19
590,17
591,23
592,17
593,18
594,14
595,17
596,9
597,13
598,15
599,12
600,11
601,16
602,10
603,13
604,6
605,9
606,12
607,15
608,11
609,5
610,4
611,18
612,7
613,4
614,7
615,8
616,9
617,8
618,7
619,10
620,7
621,8
622,10
623,11
624,7
625,7
626,6
627,8
628,8
629,10
630,6
631,8
632,10
633,7
634,4
635,11
636,5
637,6
638,6
639,10
640,10
641,5
642,8
643,10
644,8
645,3
646,10
647,4
648,13
649,7
650,6
651,8
652,9
653,14
654,10
655,10
656,10
657,9
658,7
659,10
660,16
661,9
662,8
663,9
664,17
665,11
666,14
667,12
668,8
669,17
670,11
671,14
672,13
673,8
674,13
675,12
676,16
677,12
678,12
679,11
680,10
681,19
682,19
683,8
684,7
685,13
686,10
687,11
688,9
689,13
690,11
691,5
692,7
693,16
694,11
695,9
696,5
697,4
698,3
699,4
700,8
701,6
702,5
703,6
704,4
705,2
706,7
707,6
708,4
709,6
710,3
711,1
712,8
713,6
714,7
715,6
716,4
717,5
718,5
719,7
720,9
721,2
722,4
723,3
724,5
725,5
726,4
727,5
728,5
729,2
730,2
731,2
732,4
733,5
734,3
735,2
736,6
737,3
738,3
739,6
740,5
741,0
742,5
743,4
744,5
745,5
746,4
747,4
748,9
749,3
750,0
751,2
752,4
753,1
754,4
755,6
756,2
757,0
758,2
759,3
760,2
761,3
762,1
763,0
764,3
765,4
766,3
767,2
768,2
769,6
770,2
771,1
772,5
773,4
774,4
775,4
776,1
777,1
778,2
779,4
780,3
781,5
782,3
783,1
784,7
785,2
786,5
787,2
788,3
789,2
790,4
791,2
792,2
793,2
794,1
795,4
796,4
797,5
798,3
799,5
800,2
801,3
802,4
803,3
804,3
805,2
806,4
807,3
808,2
809,7
810,4
811,2
812,2
813,1
814,5
815,4
816,1
817,3
818,4
819,2
820,2
821,3
822,2
823,4
824,2
825,0
826,2
827,2
828,8
829,2
830,1
831,3
832,2
833,1
834,4
835,7
836,4
837,3
838,3
839,2
840,0
841,5
842,1
843,1
844,2
845,1
846,3
847,3
848,3
849,0
850,2
851,0
852,0
853,5
854,1
855,1
856,0
857,1
858,1
859,4
860,0
861,2
862,0
863,0
864,3
865,2
866,2
867,3
868,3
869,3
870,1
871,2
872,2
873,2
874,1
875,2
876,3
877,1
878,1
879,0
880,3
881,2
882,2
883,2
884,1
885,2
886,0
887,3
888,1
889,0
890,0
891,2
892,1
893,0
894,2
895,0
896,3
897,1
898,0
899,2
900,1
901,3
902,0
903,2
904,1
905,0
906,1
907,0
908,1
909,1
910,0
911,0
912,1
913,0
914,0
915,0
916,4
917,0
918,0
919,0
920,2
921,0
922,1
923,0
924,1
925,0
926,0
927,0
928,0
929,1
930,1
931,0
932,0
933,0
934,0
935,1
936,2
937,0
938,1
939,1
940,1
941,0
942,1
943,2
944,0
945,1
946,0
947,4
948,1
949,1
950,0
951,0
952,1
953,0
954,3
955,2
956,1
957,0
958,2
959,3
960,0
961,1
962,0
963,1
964,0
965,2
966,2
967,0
968,3
969,0
970,4
971,1
972,0
973,2
974,2
975,1
976,0
977,1
978,1
979,2
980,1
981,2
982,0
983,3
984,0
985,1
986,2
987,0
988,0
989,0
990,0
991,0
992,1
993,1
994,2
995,1
996,1
997,0
998,0
999,1
1000,0
1001,0
1002,0
1003,1
1004,1
1005,0
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,0
1014,1
1015,1
1016,0
1017,1
1018,0
1019,0
1020,1
1021,1
1022,0
1023,605
